date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1995-06-01,,18.3,25.6,0,0,,,,,
1995-06-02,,15.6,23.3,13,0,,,,,
1995-06-03,19.6,15.6,23.3,0,0,,9.6,,,
1995-06-04,,14.4,25.6,0,0,,,,,
1995-06-05,20.7,15.6,25.6,0,0,,9.2,,,
1995-06-06,22.4,17.2,30,3.6,0,,11.3,,,
1995-06-07,23.6,11.1,32.2,3,0,255,16.2,,,
1995-06-08,11.5,10,13.9,0,0,32,21.7,,,
1995-06-09,,12.8,20.6,0.8,0,,,,,
1995-06-10,,12.2,28.3,1.3,0,,,,,
1995-06-11,,12.8,18.3,0,0,,,,,
1995-06-12,,12.8,21.7,0,0,,,,,
1995-06-13,,11.7,27.2,0,0,,,,,
1995-06-14,,17.2,29.4,0,0,,,,,
1995-06-15,24.1,17.2,30.6,0,0,,9.8,,,
1995-06-16,,18.9,31.7,0,0,,,,,
1995-06-17,,20,32.2,0,0,,,,,
1995-06-18,,22.2,32.8,0,0,,,,,
1995-06-19,28.5,22.2,33.9,0,0,,9.9,,,
1995-06-20,,25.6,35.6,0,0,,,,,
1995-06-21,26.6,23.3,31.1,0,0,53,13,,,
1995-06-22,27.2,21.1,32.8,0,0,,7.1,,,
1995-06-23,,22.2,32.8,0,0,,,,,
1995-06-24,26.3,21.1,33.3,0,0,,6.2,,,
1995-06-25,25.7,20.6,31.1,0,0,,8.2,,,
1995-06-26,24.2,20.6,27.8,2,0,78,12.6,,,
1995-06-27,,20,26.7,42.9,0,,,,,
1995-06-28,,20.6,28.9,3.6,0,,,,,
1995-06-29,,19.4,30,0,0,,,,,
1995-06-30,24.2,18.9,27.8,0,0,300,14.6,,,
1995-07-01,,15.6,25,0,0,,,,,
1995-07-02,19.9,13.9,25.6,0,0,,6.9,,,
1995-07-03,,17.2,28.3,0,0,,,,,
1995-07-04,,20.6,30,7.1,0,,,,,
1995-07-05,,19.4,30.6,2.3,0,,,,,
1995-07-06,,20.6,27.2,0,0,,,,,
1995-07-07,22.2,17.2,27.2,0,0,,16.7,,,
1995-07-08,,15.6,28.9,0,0,,,,,
1995-07-09,23.3,18.9,29.4,1,0,96,12.2,,,
1995-07-10,,17.8,32.2,0,0,,,,,
1995-07-11,,22.8,32.2,0,0,,,,,
1995-07-12,,24.4,36.7,0,0,,,,,
1995-07-13,,27.2,41.1,0,0,,,,,
1995-07-14,,28.9,38.9,0,0,,,,,
1995-07-15,,25,37.2,11.9,0,,,,,
1995-07-16,,24.4,34.4,0,0,,,,,
1995-07-17,27.3,22.8,31.7,0,0,286,16.6,,,
1995-07-18,,20,31.1,0,0,,,,,
1995-07-19,,20,32.2,0,0,,,,,
1995-07-20,24.5,21.7,26.7,8.1,0,,11.1,,,
1995-07-21,25.3,21.1,29.4,0,0,,7.2,,,
1995-07-22,,21.7,31.7,4.8,0,,,,,
1995-07-23,,21.1,29.4,1,0,,,,,
1995-07-24,,22.8,32.2,0,0,,,,,
1995-07-25,,22.2,34.4,0,0,,,,,
1995-07-26,,21.7,30.6,6.4,0,,,,,
1995-07-27,,22.2,33.3,6.6,0,,,,,
1995-07-28,,23.3,32.2,0.8,0,,,,,
1995-07-29,,22.8,35,0,0,,10.1,,,
1995-07-30,30.5,24.4,35.6,0,0,,5.2,,,
1995-07-31,,25.6,35,0,0,,,,,
1995-08-01,,22.8,29.4,6.6,0,,,,,
1995-08-02,,22.2,28.9,17,0,,,,,
1995-08-03,,22.8,26.1,12.2,0,,,,,
1995-08-04,,22.8,29.4,0,0,,9.6,,,
1995-08-05,,22.2,30,0,0,,,,,
1995-08-06,,23.3,31.1,0,0,,,,,
1995-08-07,,23.9,30,0,0,,,,,
1995-08-08,,22.8,31.1,0,0,,,,,
1995-08-09,,22.2,27.8,0,0,,,,,
1995-08-10,27.3,22.8,32.8,0,0,,10.4,,,
1995-08-11,29.3,23.9,35,0,0,,11,,,
1995-08-12,,25,37.8,0,0,,,,,
1995-08-13,,27.2,37.2,0,0,,,,,
1995-08-14,,26.7,36.7,0,0,,,,,
1995-08-15,,22.2,30.6,16.3,0,,,,,
1995-08-16,,24.4,33.9,9.1,0,,,,,
1995-08-17,,23.3,33.3,1,0,,,,,
1995-08-18,,25,31.7,0,0,,,,,
1995-08-19,,23.9,32.8,0.3,0,,,,,
1995-08-20,,22.2,29.4,0,0,,,,,
1995-08-21,,19.4,33.3,0,0,,,,,
1995-08-22,,20.6,27.2,0,0,,,,,
1995-08-23,,18.9,32.8,0,0,,,,,
1995-08-24,,22.2,30,0,0,,,,,
1995-08-25,,22.2,31.7,0,0,,,,,
1995-08-26,,21.1,33.3,0,0,,,,,
1995-08-27,,23.9,32.2,0,0,,,,,
1995-08-28,,21.7,29.4,2.5,0,,,,,
1995-08-29,,23.9,32.8,0,0,,,,,
1995-08-30,,25,33.9,0,0,,,,,
1995-08-31,,23.3,32.2,0,0,,,,,
